id,out_duration,return_duration,out_time,return_time,out_stops,out_airline,price,scraped_time
3721,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 16:16:53
3722,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 15:14:21
3723,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 15:14:21
3724,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 14:13:04
3725,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 14:13:04
3726,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 13:22:24
3727,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 13:22:24
3728,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,860.0,2024-12-18 12:26:47
3729,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,860.0,2024-12-18 12:26:47
3730,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,859.0,2024-12-18 11:11:29
3731,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,860.0,2024-12-18 11:11:29
3732,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 10:14:20
3733,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 10:14:20
3734,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 09:14:50
3735,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 09:14:50
3736,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 08:18:49
3737,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 08:18:49
3738,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 07:13:39
3739,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 07:13:39
3740,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 06:19:14
3741,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 06:19:14
3742,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 05:13:44
3743,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 05:13:44
3744,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 04:16:42
3745,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 04:16:42
3746,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 03:25:06
3747,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 03:25:06
3748,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-18 02:53:51
3749,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-18 02:53:51
3750,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,859.0,2024-12-18 01:03:36
3751,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,860.0,2024-12-18 01:03:36
3752,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,859.0,2024-12-17 23:12:39
3753,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,860.0,2024-12-17 23:12:39
3754,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 22:13:10
3755,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 22:13:10
3756,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 21:11:12
3757,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 21:11:12
3758,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,859.0,2024-12-17 20:14:46
3759,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,860.0,2024-12-17 20:14:46
3760,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,859.0,2024-12-17 19:11:28
3761,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,860.0,2024-12-17 19:11:28
3762,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,859.0,2024-12-17 18:19:48
3763,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,860.0,2024-12-17 18:19:48
3764,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 17:12:45
3765,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 17:12:45
3766,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 16:17:33
3767,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 16:17:33
3768,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 15:14:37
3769,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 15:14:37
3770,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,859.0,2024-12-17 14:13:30
3771,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,860.0,2024-12-17 14:13:30
3772,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 13:24:38
